Ticker	Fund Name	Issuer	Segment	Analyst Pick	Grade	E	T	F	Ticker	Fund Name	Asset Class	Region	Geography	Category	Focus	Niche	Inverse	Leveraged	ETN	Underlying Index	Selection Criteria	Weighting Scheme	Active per SEC	Ticker	Fund name	Dividend yield	P/E	P/B	Duration		Credit quality	YTM		Ticker	Fund name	Issuer	Expense ratio %	AUM	Spread	Segment	Ticker	Fund Name	Legal Structure	MAX LT Capital Gains Rate	Max ST Capital Gains Rate	Tax Reporting
ADRE	BLDRS Emerging Markets 50 ADR Index Fund	Invesco PowerShares	Equity: Emerging Markets - Large Cap		B	92	68	44	ADRE	BLDRS Emerging Markets 50 ADR Index Fund	Equity	Emerging Markets	Emerging Markets	Size and Style	Large Cap	Broad-based	No	No	No	BNY Mellon Emerging Markets 50 ADR Index	Depository Receipts	Market Cap	No	ADRE	BLDRS Emerging Markets 50 ADR Index Fund	1.64%	26.67	1.69		--	--    	--		ADRE	BLDRS Emerging Markets 50 ADR Index Fund	Invesco PowerShares	0.30%	$123.99M	0.28%	Equity: Emerging Markets - Large Cap	ADRE	BLDRS Emerging Markets 50 ADR Index Fund	Unit Investment Trust	20.00	39.60	1099
ADRU	BLDRS Europe Select ADR Index Fund	Invesco PowerShares	Equity: Developed Europe - Large Cap		C	86	39	51	ADRU	BLDRS Europe Select ADR Index Fund	Equity	Europe	Developed Europe	Size and Style	Large Cap	Broad-based	No	No	No	BNY Mellon Europe Select ADR Index	Depository Receipts	Market Cap	No	ADRU	BLDRS Europe Select ADR Index Fund	3.97%	41.15	1.57		--	--    	--		ADRU	BLDRS Europe Select ADR Index Fund	Invesco PowerShares	0.30%	$12.75M	0.98%	Equity: Developed Europe - Large Cap	ADRU	BLDRS Europe Select ADR Index Fund	Unit Investment Trust	20.00	39.60	1099
ADZ	DB Agriculture Short ETN	Deutsche Bank	Inverse Commodities: Agriculture		--	--	--	--	ADZ	DB Agriculture Short ETN	Commodities	Global	Global	Agriculture	Broad Market	Optimized	Yes	No	Yes	Deutsche Bank Liquid Commodity Index - Optimum Yield Agriculture	Fixed	Fixed	No	ADZ	DB Agriculture Short ETN	0.00%	--	--		--	--    	--		ADZ	DB Agriculture Short ETN	Deutsche Bank	0.75%	$546.35K	74.26%	Inverse Commodities: Agriculture	ADZ	DB Agriculture Short ETN	Exchange-Traded Note	20.00	39.60	1099
AFK	VanEck Vectors Africa Index ETF	Van Eck	Equity: Africa - Total Market		D	75	41	27	AFK	VanEck Vectors Africa Index ETF	Equity	Middle East & Africa	Africa	Size and Style	Total Market	Broad-based	No	No	No	MVIS GDP Africa Index	Multi-Factor	Tiered	No	AFK	VanEck Vectors Africa Index ETF	2.52%	17.16	1.70		--	--    	--		AFK	VanEck Vectors Africa Index ETF	Van Eck	0.79%	$68.39M	1.42%	Equity: Africa - Total Market	AFK	VanEck Vectors Africa Index ETF	Open-Ended Fund	20.00	39.60	1099
AFTY	CSOP FTSE China A50 ETF	CSOP	Equity: China - Large Cap		--	--	--	--	AFTY	CSOP FTSE China A50 ETF	Equity	Asia-Pacific	China	Size and Style	Large Cap	Broad-based	No	No	No	FTSE China A50 Net Total Return Index	Market Cap	Market Cap	No	AFTY	CSOP FTSE China A50 ETF	--	8.85	1.23		--	--    	--		AFTY	CSOP FTSE China A50 ETF	CSOP	0.70%	$5.46M	0.32%	Equity: China - Large Cap	AFTY	CSOP FTSE China A50 ETF	Open-Ended Fund	20.00	39.60	1099
AGA	DB Agriculture Double Short ETN	Deutsche Bank	Inverse Commodities: Agriculture		--	--	--	--	AGA	DB Agriculture Double Short ETN	Commodities	Global	Global	Agriculture	Broad Market	Optimized	Yes	No	Yes	Deutsche Bank Liquid Commodity Index - Optimum Yield Agriculture	Fixed	Fixed	No	AGA	DB Agriculture Double Short ETN	0.00%	--	--		--	--    	--		AGA	DB Agriculture Double Short ETN	Deutsche Bank	0.75%	$632.42K	76.38%	Inverse Commodities: Agriculture	AGA	DB Agriculture Double Short ETN	Exchange-Traded Note	20.00	39.60	1099
AGF	DB Agriculture Long ETN	Deutsche Bank	Commodities: Agriculture		D	73	33	29	AGF	DB Agriculture Long ETN	Commodities	Global	Global	Agriculture	Broad Market	Optimized	No	No	Yes	Deutsche Bank Liquid Commodity Index - Optimum Yield Agriculture	Fixed	Fixed	No	AGF	DB Agriculture Long ETN	0.00%	--	--		--	--    	--		AGF	DB Agriculture Long ETN	Deutsche Bank	0.75%	$1.57M	24.82%	Commodities: Agriculture	AGF	DB Agriculture Long ETN	Exchange-Traded Note	20.00	39.60	1099
AGG	iShares Core U.S. Aggregate Bond ETF	BlackRock	Fixed Income: U.S. - Broad Market Investment Grade		A	97	91	98	AGG	iShares Core U.S. Aggregate Bond ETF	Fixed Income	North America	U.S.	Broad Market	Investment Grade	Broad Maturities	No	No	No	Bloomberg Barclays U.S. Aggregate Bond Index	Market Value	Market Value	No	AGG	iShares Core U.S. Aggregate Bond ETF	2.38%	--	--		5.66	A+	2.06%		AGG	iShares Core U.S. Aggregate Bond ETF	BlackRock	0.05%	$42.06B	0.01%	Fixed Income: U.S. - Broad Market Investment Grade	AGG	iShares Core U.S. Aggregate Bond ETF	Open-Ended Fund	20.00	39.60	1099
AGGE	IQ Enhanced Core Bond U.S. ETF	IndexIQ	Fixed Income: U.S. - Broad Market Investment Grade		--	--	--	--	AGGE	IQ Enhanced Core Bond U.S. ETF	Fixed Income	North America	U.S.	Broad Market	Investment Grade	Broad Maturities	No	No	No	IQ Enhanced Core Bond U.S. Index	Proprietary	Multi-Factor	No	AGGE	IQ Enhanced Core Bond U.S. ETF	--	--	--		5.04	A	2.47%		AGGE	IQ Enhanced Core Bond U.S. ETF	IndexIQ	0.34%	$77.29M	0.22%	Fixed Income: U.S. - Broad Market Investment Grade	AGGE	IQ Enhanced Core Bond U.S. ETF	Open-Ended Fund	20.00	39.60	1099
AGGP	IQ Enhanced Core Plus Bond U.S. ETF	IndexIQ	Fixed Income: U.S. - Broad Market		--	--	--	--	AGGP	IQ Enhanced Core Plus Bond U.S. ETF	Fixed Income	North America	U.S.	Broad Market	Broad Market	Broad Maturities	No	No	No	IQ Enhanced Core Plus Bond U.S. Index	Proprietary	Multi-Factor	No	AGGP	IQ Enhanced Core Plus Bond U.S. ETF	--	--	--		4.59	BB	3.03%		AGGP	IQ Enhanced Core Plus Bond U.S. ETF	IndexIQ	0.35%	$211.26M	0.28%	Fixed Income: U.S. - Broad Market	AGGP	IQ Enhanced Core Plus Bond U.S. ETF	Open-Ended Fund	20.00	39.60	1099
AGGY	WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund	WisdomTree	Fixed Income: U.S. - Broad Market Investment Grade		--	--	--	--	AGGY	WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund	Fixed Income	North America	U.S.	Broad Market	Investment Grade	Broad Maturities	No	No	No	Bloomberg Barclays U.S. Aggregate Enhanced Yield Index	Market Value	Proprietary	No	AGGY	WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund	3.17%	--	--		6.51	A-	2.59%		AGGY	WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund	WisdomTree	0.12%	$114.50M	0.15%	Fixed Income: U.S. - Broad Market Investment Grade	AGGY	WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund	Open-Ended Fund	20.00	39.60	1099
AGND	WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund	WisdomTree	Fixed Income: U.S. - Broad Market Investment Grade		D	79	42	38	AGND	WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund	Fixed Income	North America	U.S.	Broad Market	Investment Grade	Broad Maturities	No	No	No	Bloomberg Barclays Rate Hedged U.S. Aggregate Bond Index, Negative Five Duration	Market Value	Market Value	No	AGND	WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund	1.75%	--	--		-5.31	A	1.93%		AGND	WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund	WisdomTree	0.28%	$17.56M	0.72%	Fixed Income: U.S. - Broad Market Investment Grade	AGND	WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund	Open-Ended Fund	20.00	39.60	1099
AGQ	ProShares Ultra Silver	ProShares	Leveraged Commodities: Precious Metals Silver		--	--	--	--	AGQ	ProShares Ultra Silver	Commodities	Global	Global	Precious Metals	Silver	Front Month	No	Yes	No	Silver Spot Price	Single Asset	Single Asset	No	AGQ	ProShares Ultra Silver	0.00%	--	--		--	--    	--		AGQ	ProShares Ultra Silver	ProShares	0.88%	$289.64M	0.16%	Leveraged Commodities: Precious Metals Silver	AGQ	ProShares Ultra Silver	Commodities Pool	27.84	27.84	K-1
AGZ	iShares Agency Bond ETF	BlackRock	Fixed Income: U.S. Government Agencies		B	93	67	96	AGZ	iShares Agency Bond ETF	Fixed Income	North America	U.S.	U.S. Government	Agencies	Broad Maturities	No	No	No	Bloomberg Barclays U.S. Agency Index	Market Value	Market Value	No	AGZ	iShares Agency Bond ETF	1.52%	--	--		3.66	AA	1.31%		AGZ	iShares Agency Bond ETF	BlackRock	0.20%	$609.35M	0.18%	Fixed Income: U.S. Government Agencies	AGZ	iShares Agency Bond ETF	Open-Ended Fund	20.00	39.60	1099
AGZD	WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund	WisdomTree	Fixed Income: U.S. - Broad Market Investment Grade		C	84	52	44	AGZD	WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund	Fixed Income	North America	U.S.	Broad Market	Investment Grade	Broad Maturities	No	No	No	Bloomberg Barclays Rate Hedged U.S. Aggregate Bond Index, Zero Duration	Market Value	Market Value	No	AGZD	WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund	1.81%	--	--		-0.05	A	1.89%		AGZD	WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund	WisdomTree	0.23%	$19.26M	0.43%	Fixed Income: U.S. - Broad Market Investment Grade	AGZD	WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund	Open-Ended Fund	20.00	39.60	1099
AIA	iShares Asia 50 ETF	BlackRock	Equity: Asia-Pacific Ex-Japan - Large Cap		B	82	81	80	AIA	iShares Asia 50 ETF	Equity	Asia-Pacific	Asia-Pacific Ex-Japan	Size and Style	Large Cap	Broad-based	No	No	No	S&P Asia 50 Index	Committee	Market Cap	No	AIA	iShares Asia 50 ETF	2.18%	12.78	1.38		--	--    	--		AIA	iShares Asia 50 ETF	BlackRock	0.50%	$337.53M	0.09%	Equity: Asia-Pacific Ex-Japan - Large Cap	AIA	iShares Asia 50 ETF	Open-Ended Fund	20.00	39.60	1099
AIRR	First Trust RBA American Industrial Renaissance ETF	First Trust	Equity: U.S. Industrials		B	83	85	27	AIRR	First Trust RBA American Industrial Renaissance ETF	Equity	North America	U.S.	Sector	Industrials	Broad-based	No	No	No	Richard Bernstein Advisors American Industrial Renaissance Index	Multi-Factor	Proprietary	No	AIRR	First Trust RBA American Industrial Renaissance ETF	0.08%	24.99	2.70		--	--    	--		AIRR	First Trust RBA American Industrial Renaissance ETF	First Trust	0.70%	$145.21M	0.20%	Equity: U.S. Industrials	AIRR	First Trust RBA American Industrial Renaissance ETF	Open-Ended Fund	20.00	39.60	1099
ALD	WisdomTree Asia Local Debt Fund	WisdomTree	Fixed Income: Asia-Pacific - Broad Market Intermediate		D	75	32	0	ALD	WisdomTree Asia Local Debt Fund	Fixed Income	Asia-Pacific	Asia-Pacific	Broad Market	Broad Market	Intermediate	No	No	No	--	Proprietary	Proprietary	Yes	ALD	WisdomTree Asia Local Debt Fund	2.07%	--	--		3.87	A	2.48%		ALD	WisdomTree Asia Local Debt Fund	WisdomTree	0.55%	$30.17M	0.70%	Fixed Income: Asia-Pacific - Broad Market Intermediate	ALD	WisdomTree Asia Local Debt Fund	Open-Ended Fund	20.00	39.60	1099
ALFA	AlphaClone Alternative Alpha ETF	Exchange Traded Concepts	Equity: U.S. - Total Market		C	72	68	37	ALFA	AlphaClone Alternative Alpha ETF	Equity	North America	U.S.	Size and Style	Total Market	Broad-based	No	No	No	AlphaClone Hedge Fund Downside Hedged Index	Proprietary	Tiered	No	ALFA	AlphaClone Alternative Alpha ETF	0.00%	29.86	3.46		--	--    	--		ALFA	AlphaClone Alternative Alpha ETF	Exchange Traded Concepts	0.95%	$32.67M	0.21%	Equity: U.S. - Total Market	ALFA	AlphaClone Alternative Alpha ETF	Open-Ended Fund	20.00	39.60	1099
ALFI	AlphaClone International ETF	AlphaClone	Equity: Global Ex-U.S. - Total Market		D	60	61	20	ALFI	AlphaClone International ETF	Equity	Global Ex-U.S.	Global Ex-U.S.	Size and Style	Total Market	Broad-based	No	No	No	AlphaClone International Downside Hedged Index	Proprietary	Tiered	No	ALFI	AlphaClone International ETF	0.85%	47.56	2.32		--	--    	--		ALFI	AlphaClone International ETF	AlphaClone	0.95%	$1.97M	0.28%	Equity: Global Ex-U.S. - Total Market	ALFI	AlphaClone International ETF	Open-Ended Fund	20.00	39.60	1099
ALTS	ProShares Morningstar Alternatives Solution ETF	ProShares	Alternatives: Absolute Returns		F	69	31	0	ALTS	ProShares Morningstar Alternatives Solution ETF	Alternatives	Global	Global	Absolute Returns	Global Macro	Tactical Asset Allocation	No	No	No	Morningstar Diversified Alternatives Index	Proprietary	Technical	No	ALTS	ProShares Morningstar Alternatives Solution ETF	1.26%	--	--		--	--    	--		ALTS	ProShares Morningstar Alternatives Solution ETF	ProShares	0.95%	$15.76M	0.55%	Alternatives: Absolute Returns	ALTS	ProShares Morningstar Alternatives Solution ETF	Open-Ended Fund	20.00	39.60	1099
ALTY	Global X SuperDividend Alternatives ETF	Global X	Asset Allocation: Target Outcome		--	--	--	--	ALTY	Global X SuperDividend Alternatives ETF	Asset Allocation	Global	Global	Asset Allocation	Target Outcome	Income	No	No	No	Indxx SuperDividend Alternatives Index	Multi-Factor	Technical	No	ALTY	Global X SuperDividend Alternatives ETF	8.04%	--	--		--	--    	--		ALTY	Global X SuperDividend Alternatives ETF	Global X	2.86%	$6.04M	1.02%	Asset Allocation: Target Outcome	ALTY	Global X SuperDividend Alternatives ETF	Open-Ended Fund	20.00	39.60	1099
AMJ	J.P. Morgan Alerian MLP Index ETN	JPMorgan	Equity: U.S. MLPs		--	--	--	--	AMJ	J.P. Morgan Alerian MLP Index ETN	Equity	North America	U.S.	Sector	Energy	MLPs	No	No	Yes	Alerian MLP Index	Distributions	Market Cap	No	AMJ	J.P. Morgan Alerian MLP Index ETN	6.51%	--	--		--	--    	--		AMJ	J.P. Morgan Alerian MLP Index ETN	JPMorgan	0.85%	$3.75B	0.04%	Equity: U.S. MLPs	AMJ	J.P. Morgan Alerian MLP Index ETN	Exchange-Traded Note	20.00	39.60	1099
AMJL	Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index ETN	Credit Suisse	Leveraged Equity: U.S. MLPs		--	--	--	--	AMJL	Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index ETN	Equity	North America	U.S.	Sector	Energy	MLPs	No	Yes	Yes	Alerian MLP Index	Dividends	Market Cap	No	AMJL	Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index ETN	--	--	--		--	--    	--		AMJL	Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index ETN	Credit Suisse	1.65%	$28.30M	1.37%	Leveraged Equity: U.S. MLPs	AMJL	Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index ETN	Exchange-Traded Note	20.00	39.60	1099
AMLP	Alerian MLP ETF	ALPS	Equity: U.S. MLPs		--	--	--	--	AMLP	Alerian MLP ETF	Equity	North America	U.S.	Sector	Energy	MLPs	No	No	No	Alerian MLP Infrastructure Index	Distributions	Market Cap	No	AMLP	Alerian MLP ETF	8.00%	78.77	1.73		--	--    	--		AMLP	Alerian MLP ETF	ALPS	0.85%	$9.92B	0.08%	Equity: U.S. MLPs	AMLP	Alerian MLP ETF	C-Corporation	20.00	39.60	1099
AMU	ETRACS Alerian MLP Index ETN	UBS	Equity: U.S. MLPs		--	--	--	--	AMU	ETRACS Alerian MLP Index ETN	Equity	North America	U.S.	Sector	Energy	MLPs	No	No	Yes	Alerian MLP Index	Distributions	Market Cap	No	AMU	ETRACS Alerian MLP Index ETN	6.54%	--	--		--	--    	--		AMU	ETRACS Alerian MLP Index ETN	UBS	0.80%	$425.70M	0.25%	Equity: U.S. MLPs	AMU	ETRACS Alerian MLP Index ETN	Exchange-Traded Note	20.00	39.60	1099
AMUB	ETRACS Alerian MLP Index ETN Series B	UBS	Equity: U.S. MLPs		--	--	--	--	AMUB	ETRACS Alerian MLP Index ETN Series B	Equity	North America	U.S.	Sector	Energy	MLPs	No	No	Yes	Alerian MLP Index	Distributions	Market Cap	No	AMUB	ETRACS Alerian MLP Index ETN Series B	6.54%	--	--		--	--    	--		AMUB	ETRACS Alerian MLP Index ETN Series B	UBS	0.80%	$29.78M	0.62%	Equity: U.S. MLPs	AMUB	ETRACS Alerian MLP Index ETN Series B	Exchange-Traded Note	20.00	39.60	1099
AMZA	InfraCap MLP ETF	Virtus	Equity: U.S. MLPs		--	--	--	--	AMZA	InfraCap MLP ETF	Equity	North America	U.S.	Sector	Energy	MLPs	No	No	No	--	Proprietary	Proprietary	Yes	AMZA	InfraCap MLP ETF	19.13%	-30.87	1.65		--	--    	--		AMZA	InfraCap MLP ETF	Virtus	1.11%	$193.61M	0.21%	Equity: U.S. MLPs	AMZA	InfraCap MLP ETF	C-Corporation	20.00	39.60	1099
AND	Global X FTSE Andean 40 ETF	Global X	Equity: Latin America - Total Market		F	57	30	34	AND	Global X FTSE Andean 40 ETF	Equity	Latin America	Latin America	Size and Style	Total Market	Broad-based	No	No	No	FTSE Andean 40 Index	Market Cap	Market Cap	No	AND	Global X FTSE Andean 40 ETF	1.09%	18.29	1.51		--	--    	--		AND	Global X FTSE Andean 40 ETF	Global X	0.72%	$4.00M	1.88%	Equity: Latin America - Total Market	AND	Global X FTSE Andean 40 ETF	Open-Ended Fund	20.00	39.60	1099
ANGL	VanEck Vectors Fallen Angel High Yield Bond ETF	Van Eck	Fixed Income: U.S. - Corporate High Yield		C	82	71	51	ANGL	VanEck Vectors Fallen Angel High Yield Bond ETF	Fixed Income	North America	U.S.	Corporate	High Yield	Broad Maturities	No	No	No	BofA Merrill Lynch US Fallen Angel High Yield Index	Credit Downgrade	Market Value	No	ANGL	VanEck Vectors Fallen Angel High Yield Bond ETF	5.40%	--	--		5.94	B+	5.54%		ANGL	VanEck Vectors Fallen Angel High Yield Bond ETF	Van Eck	0.35%	$569.39M	0.11%	Fixed Income: U.S. - Corporate High Yield	ANGL	VanEck Vectors Fallen Angel High Yield Bond ETF	Open-Ended Fund	20.00	39.60	1099
AOA	iShares Core Aggressive Allocation ETF	BlackRock	Asset Allocation: Target Risk		--	--	--	--	AOA	iShares Core Aggressive Allocation ETF	Asset Allocation	Global	Global	Asset Allocation	Target Risk	Aggressive	No	No	No	S&P Target Risk Aggressive Index	Proprietary	Proprietary	No	AOA	iShares Core Aggressive Allocation ETF	2.22%	--	--		--	--    	--		AOA	iShares Core Aggressive Allocation ETF	BlackRock	0.25%	$567.01M	0.13%	Asset Allocation: Target Risk	AOA	iShares Core Aggressive Allocation ETF	Open-Ended Fund	20.00	39.60	1099
AOK	iShares Core Conservative Allocation ETF	BlackRock	Asset Allocation: Target Risk		--	--	--	--	AOK	iShares Core Conservative Allocation ETF	Asset Allocation	Global	Global	Asset Allocation	Target Risk	Conservative	No	No	No	S&P Target Risk Conservative Index	Proprietary	Proprietary	No	AOK	iShares Core Conservative Allocation ETF	2.13%	--	--		--	--    	--		AOK	iShares Core Conservative Allocation ETF	BlackRock	0.25%	$346.72M	0.17%	Asset Allocation: Target Risk	AOK	iShares Core Conservative Allocation ETF	Open-Ended Fund	20.00	39.60	1099
AOM	iShares Core Moderate Allocation ETF	BlackRock	Asset Allocation: Target Risk		--	--	--	--	AOM	iShares Core Moderate Allocation ETF	Asset Allocation	Global	Global	Asset Allocation	Target Risk	Moderate	No	No	No	S&P Target Risk Moderate Index	Proprietary	Proprietary	No	AOM	iShares Core Moderate Allocation ETF	2.12%	--	--		--	--    	--		AOM	iShares Core Moderate Allocation ETF	BlackRock	0.25%	$691.87M	0.16%	Asset Allocation: Target Risk	AOM	iShares Core Moderate Allocation ETF	Open-Ended Fund	20.00	39.60	1099
AOR	iShares Core Growth Allocation ETF	BlackRock	Asset Allocation: Target Risk		--	--	--	--	AOR	iShares Core Growth Allocation ETF	Asset Allocation	Global	Global	Asset Allocation	Target Risk	Moderate	No	No	No	S&P Target Risk Growth Index	Proprietary	Proprietary	No	AOR	iShares Core Growth Allocation ETF	2.14%	--	--		--	--    	--		AOR	iShares Core Growth Allocation ETF	BlackRock	0.25%	$990.89M	0.13%	Asset Allocation: Target Risk	AOR	iShares Core Growth Allocation ETF	Open-Ended Fund	20.00	39.60	1099
